country,co2emissions,lifeexpectancy,urbanrate,incomeperperson
Afghanistan,75944000,48.673,24.04, 
Albania,223747333.3,76.918,46.72,1914.996551
Algeria,2932108667,73.131,65.22,2231.993335
Andorra, , ,88.92,21943.3399
Angola,248358000,51.093,56.7,1381.004268
Antigua and Barbuda,16225000, ,30.46,11894.46407
Argentina,5872119000,75.901,92,10749.41924
Armenia,51219666.67,74.241,63.86,1326.741757
Aruba,35871000,75.246,46.78, 
Australia,12970092667,81.907,88.74,25249.98606
Austria,4466084333,80.854,67.16,26692.98411
Azerbaijan,511107666.7,70.739,51.92,2344.896916
Bahamas,137555000,75.62,83.7,19630.54055
Bahrain,503994333.3,75.057,88.52,12505.21254
Bangladesh,598774000,68.944,27.14,558.0628766
Barbados,36160666.67,76.835,39.84,9243.587053
Belarus,999874333.3,70.349,73.46,2737.670379
Belgium,10897025333,80.009,97.36,24496.04826
Belize,14058000,76.072,51.7,3545.652174
Benin,37950000,56.081,41.2,377.0396995
Bermuda,20331666.67, ,100,62682.14701
Bhutan,6024333.333,67.185,34.48,1324.194906
Bolivia,254939666.7,66.618,65.58,1232.794137
Bosnia and Herzegovina,236419333.3,75.67,47.44,2183.344867
Botswana,78943333.33,53.183,59.58,4189.436587
Brazil,9580226333,73.488,85.58,4699.411262
Brunei,254206333.3,78.005,74.82,17092.46
Bulgaria,3157700333,73.371,71.1,2549.558474
Burkina Faso,20628666.67,55.439,19.56,276.200413
Burundi,8092333.333,50.411,10.4,115.3059959
Cambodia,45411666.67,63.125,21.56,557.9475126
Cameroon,125172666.7,51.61,56.76,713.6393027
Canada,24979045667,81.012,80.4,25575.35262
Cape Verde,5214000,74.156,59.62,1959.844472
Cayman Islands,8968666.667, ,100, 
Central African Rep.,8338000,48.398,38.58,239.5187494
Chad,7608333.333,49.553,26.68,275.8842865
Chile,1839471333,79.12,88.44,6334.105194
China,1.01E+11,73.456,43.1,2425.471293
Colombia,2269806000,73.703,74.5,3233.42378
Comoros,2368666.667,61.061,28.08,336.3687495
"Congo, Dem. Rep.",169180000,48.397,33.96,103.7758572
"Congo, Rep.",46306333.33,57.379,61.34,1253.292015
Cook Islands,1045000, , , 
Costa Rica,148470666.7,79.311,63.26,5188.900935
Cote d'Ivoire,228748666.7,55.377,48.78,591.0679443
Croatia,310024000,76.64,57.28,6338.494668
Cuba,1286670000,79.143,75.66,4495.046262
Cyprus,183535000,79.591,69.9,15313.85935
Czech Rep.,1776016000,77.685,73.5,7381.312751
Denmark,3503877667,78.826,86.68,30532.27704
Djibouti,14054333.33,57.937,87.3,895.3183396
Dominica,2401666.667, ,73.92,6147.77961
Dominican Rep.,446365333.3,73.396,69.02,4049.169629
Ecuador,692039333.3,75.632,65.58,1728.020976
Egypt,3341129000,73.235,42.72,1975.551906
El Salvador,143586666.7,72.196,60.7,2557.433638
Equatorial Guinea,26125000,51.088,39.38,8654.536845
Eritrea,7315000,61.597,20.72,131.796207
Estonia,277170666.7,74.825,69.46,6238.537506
Ethiopia,119958666.7,59.274,17,220.8912479
Faeroe Islands,21351000, ,41.42, 
Fiji,35717000,69.245,52.36,2230.676374
Finland,2420300667,79.977,63.3,27110.73159
France,33341634333,81.539,77.36,22878.46657
French Polynesia,19800000,75.133,51.64, 
Gabon,170804333.3,62.703,85.04,4180.765821
Gambia,7355333.333,58.491,56.42,354.5997263
Georgia,81191000,73.737,52.74,1258.762596
Germany,41229554667,80.414,73.64,25306.18719
Ghana,188268666.7,64.228,50.02,358.9795398
Gibraltar,7388333.333, , , 
Greece,2712915333,79.915,61,13577.87989
Greenland,23635333.33, ,83.52,20751.89342
Grenada,4774000,75.956,30.84,5330.401612
Guadeloupe,45778333.33,79.839, , 
Guam, ,76.142,93.16, 
Guatemala,242594000,71.172,48.58,1860.753895
Guinea,46684000,54.097,34.44,411.5014473
Guinea-Bissau,7813666.667,48.132,29.84,161.3171371
Guyana,69329333.33,69.927,28.38,1200.652075
Haiti,40857666.67,62.095,46.84,371.4241975
Honduras,131703000,73.126,47.88,1392.411829
"Hong Kong, China",1026813333,82.759,100,35536.07247
Hungary,4244009000,74.414,67.5,5634.003948
Iceland,92770333.33,81.804,92.26,33945.31442
India,30391317000,65.438,29.54,786.7000981
Indonesia,6710201667,69.366,51.46,1143.831514
Iran,9183548000,72.974,68.46,2161.54651
Iraq,2421917667,69.042,66.6,736.2680538
Ireland,1633778667,80.557,61.34,27595.09135
Israel,1561079667,81.618,91.66,22275.75166
Italy,19000454000,81.855,68.08,18982.26929
Jamaica,340090666.7,73.127,53.3,3665.348369
Japan,46092214667,83.394,66.48,39309.47886
Jordan,377303666.7,73.403,78.42,2534.00038
Kazakhstan,2484925667,67.017,57.94,2481.718918
Kenya,283583666.7,57.134,21.6,468.6960436
Kiribati,1111000, ,43.84,760.262365
"Korea, Dem. Rep.",5896388667,68.846,62.68, 
"Korea, Rep.",9666891667,80.642,81.46,16372.49978
Kuwait,1712755000,74.576,98.36, 
Kyrgyzstan,87970666.67,67.714,36.28,372.728414
Laos,21332666.67,67.484,30.88,554.8798401
Latvia,125755666.7,73.339,68.12,5011.219456
Lebanon,428006333.3,72.64,86.96,6746.612632
Lesotho, ,48.196,25.46,495.7342469
Liberia,38991333.33,56.786,60.14,155.0332312
Libya,1414031667,74.788,77.54,7885.468037
Liechtenstein, , ,14.32,81647.10003
Lithuania,226255333.3,72.231,66.96,5332.238591
Luxembourg,592012666.7,79.963,82.44,52301.58718
"Macao, China",38397333.33,80.934,100,33923.31387
"Macedonia, FYR",168883000,74.847,66.9,2221.185664
Madagascar,62777000,66.718,29.52,242.6775342
Malawi,28490000,54.21,18.8,184.1417966
Malaysia,2670950333,74.221,70.36,5184.709328
Maldives,8231666.667,76.848,37.86,4038.857818
Mali,17515666.67,51.444,32.18,269.8928811
Malta,73784333.33,79.634,94.26,11066.78414
Marshall Islands,1206333.333, ,71.08,2437.282445
Martinique,56162333.33,80.499, , 
Mauritania,56818666.67,58.582,41,609.1312059
Mauritius,59473333.33,73.373,42.48,5182.143721
Mexico,13304503667,76.954,77.2,6105.280743
"Micronesia, Fed. Sts.", ,68.978,22.54,2146.358593
Moldova,149904333.3,69.317,41.76,595.8745345
Monaco, , ,100,105147.4377
Mongolia,300934333.3,68.498,57.18,772.9333448
Montenegro, ,74.573,60.18,2222.335052
Morocco,953051000,72.15,56.02,1844.351028
Mozambique,107096000,50.239,36.84,389.7636343
Myanmar,322960000,65.193,32.58, 
Namibia,26209333.33,62.465,36.84,2667.24671
Nauru,4814333.333, , , 
Nepal,52657000,68.795,17.24,268.2594495
Netherlands,9483023000,80.734,81.82,26551.84424
Netherlands Antilles,102538333.3,76.652,92.68, 
New Caledonia,90269666.67,76.521,64.78, 
New Zealand,1321661000,80.654,86.56,14778.16393
Nicaragua,109681000,74.044,56.74,948.355952
Niger,30800000,54.675,16.54,180.083376
Nigeria,2386820333,51.879,48.36,544.5994767
Niue,132000, , , 
Norway,1962704333,81.097,77.48,39972.35277
Oman,487993000,72.974,71.62,11191.81101
Pakistan,2329308667,65.437,36.16,668.547943
Palau,1723333.333, ,80.46,6243.571318
Panama,170404666.7,76.128,73.2,5900.616944
Papua New Guinea,88337333.33,62.791,12.54,744.2394132
Paraguay,95256333.33,72.477,60.3,1621.177078
Peru,1146277000,73.99,71.4,3180.430612
Philippines,2008116000,68.749,64.92,1383.401869
Poland,23053598333,76.126,61.32,6575.745044
Portugal,1865922667,79.499,59.46,11744.83417
Puerto Rico, ,79.158,98.32,15822.11214
Qatar,811965000,78.371,95.64,33931.83208
Reunion,55146666.67,77.653, , 
Romania,7104137333,73.979,54.24,2636.7878
Russia,23404568000,68.823,72.84,2923.144355
Rwanda,20152000,55.442,18.34,338.2663912
Saint Kitts and Nevis,2251333.333, ,32.32,9175.796015
Saint Lucia,7601000,74.641,27.84,5248.582321
Saint Vincent and the Grenadines,3659333.333,72.283,47.04,4885.046701
Samoa,4352333.333,72.444,23,1784.071284
San Marino, , ,94.22,31993.20069
Sao Tome and Principe,2335666.667,64.666,60.56, 
Saudi Arabia,7861553333,73.911,82.42,9425.32587
Senegal,127108666.7,59.318,42.38,561.7085848
Serbia, ,74.522,52.04,1194.711433
Serbia and Montenegro, , , , 
Seychelles,9155666.667, ,54.34,8614.120219
Sierra Leone,29758666.67,47.794,37.76,268.3317903
Singapore,1548044667,81.126,100,32535.83251
Slovak Republic,590674333.3,75.446,56.56,8445.526689
Slovenia,214368000,79.341,48.6,12729.4544
Solomon Islands,5210333.333,67.852,17.96,1144.102193
Somalia,16379000,51.219,36.52, 
South Africa,14609848000,52.797,60.74,3745.649852
Spain,10822529667,81.404,77.12,15461.75837
Sri Lanka,253854333.3,74.941,15.1,1295.742686
Sudan,225019666.7,61.452,43.44,523.9501515
Suriname,86317000,70.563,74.92,2668.020519
Swaziland,22704000,48.718,24.94,1810.230533
Sweden,4286590000,81.439,84.54,32292.48298
Switzerland,2406741333,82.338,73.48,37662.75125
Syria,1436893333,75.85,54.22,1525.780116
Taiwan,5248815000, , , 
Tajikistan,104170000,67.529,26.46,279.1804526
Tanzania,100782000,58.199,25.52,456.3857117
Thailand,4200940333,74.126,33.32,2712.517199
Timor-Leste,850666.6667,62.475,27.3,369.5729537
Togo,32233666.67,57.062,42,285.2244493
Tonga,2907666.667,72.317,24.78,2025.282665
Trinidad and Tobago, ,70.124,13.22,10480.8172
Tunisia,525891666.7,74.515,66.5,3164.927693
Turkey,5675629667,73.979,68.68,5348.597192
Turkmenistan,531303666.7,64.986,48.62,2062.125152
Tuvalu, , , ,1714.94289
Uganda,49793333.33,54.116,12.98,377.4211133
Ukraine,5584766000,68.494,67.98,1036.830725
United Arab Emirates,2315698000,76.546,77.88,21087.39412
United Kingdom,72524250333,80.17,89.94,28033.48928
United States,3.34E+11,78.531,81.7,37491.17952
Uruguay,275744333.3,77.005,92.3,9106.327234
Uzbekistan,1718339333,68.287,36.82,952.8272608
Vanuatu,2977333.333,71.017,24.76,1543.956457
Venezuela,5418886000,74.402,93.32,5528.363114
Vietnam,1425435000,75.181,27.84,722.8075588
West Bank and Gaza,14241333.33,72.832,71.9, 
"Yemen, Rep.",234864666.7,65.493,30.64,610.3573673
Zambia,132025666.7,49.025,35.42,432.226337
Zimbabwe,590219666.7,51.384,37.34,320.7718899
